"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.258288460E-1,1.225000024E0,-1.449000001E0,3.050000072E-1,1.921783303E0
6.355656940E-1,1.279000044E0,-1.463999987E0,3.880000114E-1,1.982342322E0
6.453026150E-1,1.356999993E0,-1.465999961E0,4.530000091E-1,2.048368589E0
6.550393100E-1,1.450999975E0,-1.483999968E0,5.090000033E-1,2.136992708E0
6.647764710E-1,1.480000019E0,-1.524000049E0,4.950000048E-1,2.181284303E0
6.745131660E-1,1.401999950E0,-1.501999974E0,4.950000048E-1,2.113440983E0
6.842500580E-1,1.261000037E0,-1.424999952E0,4.950000048E-1,1.966156393E0
6.939869060E-1,1.065999985E0,-1.375000000E0,4.920000136E-1,1.808050049E0
7.037238310E-1,9.279999733E-1,-1.378999949E0,4.350000024E-1,1.718153023E0
7.134605160E-1,7.860000134E-1,-1.404000044E0,3.829999864E-1,1.653995506E0
7.231973900E-1,6.150000095E-1,-1.416000009E0,2.969999909E-1,1.572097335E0
7.329343130E-1,4.900000095E-1,-1.429999948E0,1.860000044E-1,1.523021950E0
7.426711320E-1,3.910000026E-1,-1.422000051E0,3.700000048E-2,1.475240369E0
7.524080530E-1,3.379999995E-1,-1.370000005E0,1.000000015E-1,1.414617974E0
7.621449760E-1,3.459999859E-1,-1.342000008E0,8.200000226E-2,1.388309768E0
7.718816700E-1,3.779999912E-1,-1.253000021E0,6.400000304E-2,1.310339287E0
7.816186050E-1,3.880000114E-1,-1.187999964E0,3.099999949E-2,1.250139561E0
7.913555290E-1,3.350000083E-1,-1.139000058E0,1.799999923E-2,1.187379526E0
8.010923870E-1,2.750000060E-1,-1.139999986E0,1.200000010E-2,1.172761259E0
8.108293080E-1,1.759999990E-1,-1.187999964E0,-2.500000037E-2,1.201226421E0
8.205662310E-1,5.000000075E-2,-1.210999966E0,-8.200000226E-2,1.214802419E0
8.303029250E-1,-5.099999905E-2,-1.223999977E0,-1.190000027E-1,1.230828154E0
8.400398260E-1,-1.570000052E-1,-1.172999978E0,-7.000000030E-2,1.185528553E0
8.497767490E-1,-1.509999931E-1,-1.083999991E0,-1.099999994E-2,1.094521804E0
8.595135980E-1,-6.300000101E-2,-1.001000047E0,0.000000000E0,1.002980605E0
8.692505350E-1,7.599999756E-2,-9.169999957E-1,-2.400000021E-2,9.204569473E-1
8.789874670E-1,1.949999928E-1,-8.009999990E-1,3.500000015E-2,8.251369557E-1
8.887241610E-1,3.230000138E-1,-6.999999881E-1,1.599999964E-1,7.873556954E-1
8.984610920E-1,4.239999950E-1,-6.420000196E-1,1.620000005E-1,7.862467940E-1
9.081979300E-1,5.479999781E-1,-5.860000253E-1,1.720000058E-1,8.205388520E-1
9.179348520E-1,5.550000072E-1,-5.519999862E-1,1.879999936E-1,8.050298071E-1
9.276717560E-1,5.270000100E-1,-4.900000095E-1,2.669999897E-1,7.675402364E-1
9.374084500E-1,5.360000134E-1,-4.469999969E-1,2.720000148E-1,7.490587558E-1
9.471453950E-1,5.370000005E-1,-4.600000083E-1,2.049999982E-1,7.362024229E-1
9.568823180E-1,5.310000181E-1,-4.900000095E-1,1.860000044E-1,7.460945183E-1
9.666191610E-1,5.329999924E-1,-4.889999926E-1,2.440000027E-1,7.633780099E-1
9.763560820E-1,5.450000167E-1,-4.760000110E-1,3.009999990E-1,7.837104236E-1
9.860930110E-1,5.960000157E-1,-5.000000000E-1,3.600000143E-1,8.572141092E-1
9.958297050E-1,6.320000291E-1,-4.939999878E-1,4.009999931E-1,8.968060098E-1
1.005566640E0,6.740000248E-1,-5.130000114E-1,4.889999926E-1,9.780419408E-1
1.015303563E0,7.390000224E-1,-5.350000262E-1,5.600000024E-1,1.070488703E0
1.025040401E0,7.820000052E-1,-5.540000200E-1,5.360000134E-1,1.098060128E0
1.034777308E0,8.289999962E-1,-5.730000138E-1,4.560000002E-1,1.106122059E0
1.044514212E0,8.840000033E-1,-6.019999981E-1,3.790000081E-1,1.134681017E0
1.054250907E0,8.590000272E-1,-6.290000081E-1,2.910000086E-1,1.103722366E0
1.063987832E0,8.069999814E-1,-6.169999838E-1,1.969999969E-1,1.034769032E0
1.073724680E0,7.670000196E-1,-6.079999804E-1,7.100000232E-2,9.813225803E-1
1.083461611E0,8.119999766E-1,-5.929999948E-1,-1.200000010E-2,1.005553060E0
1.093198534E0,8.330000043E-1,-5.279999971E-1,-1.800000072E-1,1.002533295E0
1.102935229E0,8.320000172E-1,-4.799999893E-1,-4.009999931E-1,1.040877040E0
1.112672150E0,7.730000019E-1,-4.000000060E-1,-5.830000043E-1,1.047577211E0
1.122409082E0,7.540000081E-1,-2.939999998E-1,-6.949999928E-1,1.066760049E0
1.132145930E0,7.110000253E-1,-1.459999979E-1,-7.390000224E-1,1.035836893E0
1.141882836E0,7.160000205E-1,0.000000000E0,-7.900000215E-1,1.066187630E0
1.151619759E0,7.080000043E-1,1.169999987E-1,-8.450000286E-1,1.108592826E0
