"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.617155160E-1,8.880000114E-1,8.500000238E-1,-1.712000012E0,2.107602454E0
6.714531410E-1,9.670000076E-1,2.060000002E-1,-5.350000262E-1,1.124166377E0
6.811909810E-1,8.420000076E-1,-1.442999959E0,4.749999940E-1,1.736904686E0
6.909287160E-1,1.959999949E-1,-3.463999987E0,-8.439999819E-1,3.570720918E0
7.006663330E-1,-1.664999962E0,-4.566999912E0,-4.724999905E0,6.779036596E0
7.104041150E-1,-3.256999969E0,-5.960999966E0,-7.501999855E0,1.012035430E1
7.201417330E-1,-5.672999859E0,-6.473000050E0,-1.502000046E1,1.731135670E1
7.298795040E-1,-1.218900013E1,-2.915999889E0,-1.398299980E1,1.877762133E1
7.396171210E-1,-9.451000214E0,-1.486999989E0,-8.736000061E0,1.295570419E1
7.493549280E-1,-1.381000042E0,-4.640999794E0,-5.030000210E0,6.981901053E0
7.590927450E-1,3.765000105E0,-6.223999977E0,2.540000081E-1,7.278593100E0
7.688303620E-1,4.791999817E0,-7.011000156E0,4.326000214E0,9.530564689E0
7.785681110E-1,2.724999905E0,-6.964000225E0,7.147999763E0,1.034489363E1
7.883057280E-1,-5.669999719E-1,-6.315999985E0,8.444000244E0,1.056004190E1
7.980434750E-1,-2.581000090E0,-5.392000198E0,8.694000244E0,1.055087048E1
8.077810930E-1,-2.946000099E0,-4.800000191E0,8.062000275E0,9.834366621E0
8.175188460E-1,-2.479000092E0,-4.696000099E0,7.758999825E0,9.402124051E0
8.272564530E-1,-1.720000029E0,-4.522999763E0,8.338999748E0,9.641309235E0
8.369942310E-1,-6.219999790E-1,-4.482999802E0,9.128000259E0,1.018845228E1
8.467320770E-1,4.500000179E-2,-4.252999783E0,9.154000282E0,1.009384730E1
8.564695930E-1,-2.080000043E-1,-3.714999914E0,7.998000145E0,8.821139081E0
8.662072090E-1,-6.529999971E-1,-3.033999920E0,5.980000019E0,6.737355916E0
8.759449660E-1,-5.619999766E-1,-2.243000031E0,3.823999882E0,4.468765848E0
8.856828120E-1,8.000000380E-3,-1.425999999E0,1.848999977E0,2.335024821E0
8.954204150E-1,6.019999981E-1,-8.119999766E-1,3.959999979E-1,1.085616856E0
9.051579690E-1,7.779999971E-1,-3.470000029E-1,-6.090000272E-1,1.047174308E0
9.148958130E-1,5.199999809E-1,-8.699999750E-2,-1.292000055E0,1.395432952E0
9.246335870E-1,6.599999964E-2,-1.899999939E-2,-1.792999983E0,1.794314894E0
9.343712050E-1,-3.000000119E-1,-1.659999937E-1,-1.970999956E0,2.000599118E0
9.441089720E-1,-5.440000296E-1,-4.399999976E-1,-1.582999945E0,1.730729573E0
9.538465930E-1,-9.679999948E-1,-4.769999981E-1,-1.307000041E0,1.694934245E0
9.635843610E-1,-1.274999976E0,-3.479999900E-1,-1.348999977E0,1.888525846E0
9.733219640E-1,-1.088999987E0,-2.599999905E-1,-1.455000043E0,1.835904706E0
9.830597310E-1,-4.429999888E-1,-2.870000005E-1,-1.062000036E0,1.185943535E0
9.927973440E-1,2.370000035E-1,-1.379999965E-1,-2.419999987E-1,3.657553828E-1
1.002535126E0,6.679999828E-1,-1.080000028E-1,1.150000021E-1,6.863767028E-1
1.012272733E0,7.789999843E-1,-4.099999964E-1,9.099999815E-2,8.849982894E-1
1.022010501E0,3.319999874E-1,-5.360000134E-1,-2.240000069E-1,6.691008960E-1
1.031748142E0,4.500000179E-2,-4.720000029E-1,-7.360000014E-1,8.755027156E-1
1.041485909E0,2.339999974E-1,-3.359999955E-1,-1.453999996E0,1.510552212E0
1.051223761E0,3.939999938E-1,-8.299999684E-2,-2.365000010E0,2.399031063E0
1.060961378E0,2.809999883E-1,2.739999890E-1,-3.355000019E0,3.377878345E0
1.070699145E0,-4.000000190E-3,7.400000095E-1,-4.260000229E0,4.323796707E0
1.080436763E0,-4.659999907E-1,1.277999997E0,-5.094999790E0,5.273467820E0
1.090174530E0,-1.166000009E0,1.950999975E0,-5.637000084E0,6.077970621E0
1.099912147E0,-2.094000101E0,2.575000048E0,-5.671999931E0,6.571685088E0
1.109649919E0,-3.052000046E0,3.029999971E0,-5.375999928E0,6.884546414E0
1.119387536E0,-3.805000067E0,3.157999992E0,-4.256999969E0,6.524801775E0
1.129125299E0,-4.068999767E0,3.267999887E0,-2.250000000E0,5.683228165E0
1.138862917E0,-4.077000141E0,3.111000061E0,-2.399999946E-1,5.133989825E0
1.148600688E0,-4.385000229E0,2.766999960E0,1.139000058E0,5.308656790E0
1.158338324E0,-4.789000034E0,2.430999994E0,1.822000027E0,5.671328451E0
1.168076064E0,-5.146999836E0,2.335000038E0,2.124000072E0,6.037814903E0
1.177813681E0,-5.296999931E0,2.247999907E0,2.104000092E0,6.126869367E0
1.187551422E0,-5.302000046E0,2.118000031E0,1.853000045E0,6.002560935E0
1.197289040E0,-5.566999912E0,2.430999994E0,1.615000010E0,6.285656213E0
1.207026812E0,-5.348000050E0,2.632999897E0,1.524000049E0,6.152752972E0
1.216764429E0,-5.217000008E0,2.571000099E0,1.281000018E0,5.955509352E0
1.226502211E0,-5.532000065E0,2.542999983E0,1.228000045E0,6.211107610E0
1.236240058E0,-5.652999878E0,2.269999981E0,1.736999989E0,6.334546274E0
1.245977708E0,-5.777999878E0,1.827000022E0,2.519999981E0,6.563048954E0
1.255715475E0,-5.736000061E0,1.195000052E0,3.417000055E0,6.782743634E0
1.265453113E0,-5.688000202E0,5.780000091E-1,4.171999931E0,7.077641820E0
1.275190846E0,-5.702000141E0,2.160000056E-1,4.537000179E0,7.289981635E0
1.284928468E0,-5.519000053E0,3.000000026E-3,4.107999802E0,6.880046000E0
1.294666236E0,-4.946000099E0,-1.909999996E-1,3.168999910E0,5.877240714E0
1.304403853E0,-4.043000221E0,-2.669999897E-1,2.042999983E0,4.537729467E0
1.314141586E0,-3.404000044E0,-2.419999987E-1,9.089999795E-1,3.531580561E0
1.323879204E0,-2.701999903E0,-2.680000067E-1,2.829999924E-1,2.729966387E0
1.333616985E0,-1.968999982E0,-3.089999855E-1,-8.999999613E-3,1.993118893E0
1.343354602E0,-1.381000042E0,-4.970000088E-1,-2.700000107E-1,1.492337137E0
1.353092375E0,-1.031999946E0,-7.630000114E-1,-5.860000253E-1,1.410882325E0
1.362829992E0,-6.919999719E-1,-9.810000062E-1,-1.004999995E0,1.565646820E0
1.372567749E0,-3.919999897E-1,-1.185999990E0,-1.384999990E0,1.865069688E0
1.382305367E0,-1.299999952E-1,-1.348999977E0,-1.769000053E0,2.228466317E0
1.392043125E0,3.200000152E-2,-1.496999979E0,-2.142999887E0,2.614284119E0
1.401780742E0,1.040000021E-1,-1.659000039E0,-2.434999943E0,2.948274385E0
1.411518500E0,7.900000364E-2,-1.666000009E0,-2.505000114E0,3.009455533E0
1.421256117E0,-1.430000067E-1,-1.735999942E0,-2.707000017E0,3.219005109E0
1.430993899E0,-4.650000036E-1,-2.059000015E0,-3.111999989E0,3.760352376E0
1.440731517E0,-7.770000100E-1,-2.447999954E0,-3.375000000E0,4.241115159E0
1.450469269E0,-1.039999962E0,-2.769000053E0,-3.339999914E0,4.461452750E0
1.460206886E0,-1.134999990E0,-3.098999977E0,-3.049999952E0,4.493831945E0
1.469944683E0,-1.032999992E0,-3.405999899E0,-3.055000067E0,4.690516997E0
1.479682310E0,-8.529999852E-1,-3.552000046E0,-3.342999935E0,4.951763511E0
1.489420043E0,-1.027999997E0,-3.358000040E0,-3.630000114E0,5.050727581E0
1.499157661E0,-6.399999857E-1,-3.362999916E0,-3.971999884E0,5.243677287E0
1.508895423E0,-5.559999943E-1,-3.365000010E0,-4.421000004E0,5.583690723E0
1.518633040E0,-8.500000238E-1,-3.029000044E0,-4.375999928E0,5.389500596E0
