"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.054071820E-1,3.000000026E-3,3.400000185E-2,-6.000000052E-3,3.465544873E-2
7.151441050E-1,1.449999958E-1,1.150000021E-1,9.700000286E-2,2.089473614E-1
7.248807180E-1,1.309999973E-1,1.469999999E-1,1.089999974E-1,2.250577674E-1
7.346176390E-1,2.440000027E-1,1.169999987E-1,2.099999972E-2,2.714148136E-1
7.443542320E-1,6.409999728E-1,2.419999987E-1,1.280000061E-1,6.970143227E-1
7.540909290E-1,9.929999709E-1,4.410000145E-1,2.890000045E-1,1.124300208E0
7.638277880E-1,1.212000012E0,5.759999752E-1,3.659999967E-1,1.390926310E0
7.735644820E-1,1.276000023E0,5.550000072E-1,3.799999952E-1,1.442428876E0
7.833013550E-1,1.047000051E0,3.829999864E-1,2.619999945E-1,1.145225782E0
7.930380500E-1,6.660000086E-1,1.609999985E-1,7.699999958E-2,6.894969259E-1
8.027748940E-1,2.969999909E-1,-2.899999917E-2,-9.200000018E-2,3.122723084E-1
8.125115880E-1,2.199999988E-2,-1.640000045E-1,-2.049999982E-1,2.634482886E-1
8.222484360E-1,-1.230000034E-1,-2.380000055E-1,-3.009999990E-1,4.029565769E-1
8.319851310E-1,-2.070000023E-1,-2.540000081E-1,-3.479999900E-1,4.779843074E-1
8.417219950E-1,-2.370000035E-1,-2.259999961E-1,-3.149999976E-1,4.543896988E-1
8.514586120E-1,-2.290000021E-1,-2.500000000E-1,-1.749999970E-1,3.815311258E-1
8.611953170E-1,-2.080000043E-1,-2.549999952E-1,-4.199999943E-2,3.317423689E-1
8.709321630E-1,-2.039999962E-1,-2.060000002E-1,1.019999981E-1,3.073369456E-1
8.806688900E-1,-1.570000052E-1,-1.340000033E-1,3.589999974E-1,4.141086822E-1
8.904057340E-1,-1.570000052E-1,-6.800000370E-2,5.709999800E-1,5.960821917E-1
9.001424150E-1,-2.290000021E-1,-2.000000095E-3,5.099999905E-1,5.590572343E-1
9.098792350E-1,-3.319999874E-1,2.700000070E-2,3.619999886E-1,4.919318889E-1
9.196159390E-1,-3.459999859E-1,-1.000000047E-3,2.129999995E-1,4.063077529E-1
9.293527830E-1,-2.230000049E-1,-3.299999982E-2,1.000000047E-3,2.254307037E-1
9.390894780E-1,-5.999999866E-2,-1.400000043E-2,-1.700000018E-1,1.808203541E-1
9.488263220E-1,5.499999970E-2,3.099999949E-2,-2.969999909E-1,3.036362866E-1
9.585629430E-1,1.199999973E-1,5.400000140E-2,-4.300000072E-1,4.496843400E-1
9.682996340E-1,1.759999990E-1,9.000000358E-2,-5.130000114E-1,5.497681439E-1
9.780364900E-1,2.310000062E-1,7.100000232E-2,-5.189999938E-1,5.725058923E-1
9.877731840E-1,2.509999871E-1,5.900000036E-2,-4.309999943E-1,5.022379801E-1
9.975100140E-1,2.560000122E-1,5.000000075E-2,-2.879999876E-1,3.885614484E-1
1.007246709E0,2.409999967E-1,6.499999762E-2,-1.389999986E-1,2.857043886E-1
1.016983567E0,2.020000070E-1,8.500000089E-2,7.000000216E-3,2.192669674E-1
1.026720251E0,2.169999927E-1,1.570000052E-1,1.609999985E-1,3.125043968E-1
1.036456867E0,1.739999950E-1,1.920000017E-1,2.619999945E-1,3.684888004E-1
1.046193711E0,1.319999993E-1,1.379999965E-1,3.199999928E-1,3.726499621E-1
1.055930405E0,1.410000026E-1,5.799999833E-2,4.180000126E-1,4.449370867E-1
1.065667240E0,9.200000018E-2,-4.899999872E-2,4.979999959E-1,5.087917018E-1
1.075403935E0,4.600000009E-2,-1.250000000E-1,5.559999943E-1,5.717315748E-1
1.085140774E0,3.900000080E-2,-2.220000029E-1,5.130000114E-1,5.603338407E-1
1.094877468E0,8.999999613E-3,-2.860000134E-1,4.050000012E-1,4.958850760E-1
1.104614317E0,-4.999999888E-3,-2.910000086E-1,2.800000012E-1,4.038638455E-1
1.114351012E0,-2.800000086E-2,-2.689999938E-1,1.560000032E-1,3.122194704E-1
1.124087827E0,-5.600000173E-2,-2.179999948E-1,7.400000095E-2,2.369303654E-1
1.133824444E0,-4.899999872E-2,-1.449999958E-1,8.000000380E-3,1.532644730E-1
1.143561355E0,-5.900000036E-2,-7.900000364E-2,-1.799999923E-2,1.002297390E-1
1.153297973E0,-6.800000370E-2,-1.300000027E-2,-2.000000095E-3,6.926038197E-2
1.163034646E0,-6.899999827E-2,3.999999911E-2,0.000000000E0,7.975587558E-2
1.172771490E0,-8.799999952E-2,9.099999815E-2,-7.000000216E-3,1.267832780E-1
1.182508184E0,-5.700000003E-2,1.340000033E-1,7.000000216E-3,1.457875197E-1
1.192245029E0,-3.299999982E-2,1.400000006E-1,-1.999999955E-2,1.452205224E-1
1.201981703E0,2.000000095E-3,1.509999931E-1,-6.499999762E-2,1.644080217E-1
1.211718547E0,2.300000004E-2,1.529999971E-1,-9.200000018E-2,1.800055531E-1
1.221455228E0,6.899999827E-2,1.490000039E-1,-8.299999684E-2,1.839864137E-1
1.231192072E0,8.200000226E-2,1.459999979E-1,-6.499999762E-2,1.796246070E-1
1.240928689E0,8.699999750E-2,1.199999973E-1,-4.399999976E-2,1.546124151E-1
1.250665379E0,6.400000304E-2,1.010000035E-1,1.600000076E-2,1.206358202E-1
1.260402235E0,6.100000069E-2,7.999999821E-2,8.500000089E-2,1.317042139E-1
1.270138929E0,3.400000185E-2,3.400000185E-2,1.070000008E-1,1.173072906E-1
1.279875773E0,1.999999955E-2,-1.300000027E-2,1.230000034E-1,1.252916630E-1
1.289612467E0,2.899999917E-2,-5.700000003E-2,1.580000073E-1,1.704523460E-1
1.299349293E0,2.600000054E-2,-7.199999690E-2,2.010000050E-1,2.150837083E-1
1.309085910E0,5.200000107E-2,-1.010000035E-1,2.039999962E-1,2.334973218E-1
1.318822605E0,7.699999958E-2,-1.199999973E-1,1.679999977E-1,2.203474496E-1
1.328559452E0,1.159999967E-1,-1.199999973E-1,1.480000019E-1,2.230694940E-1
1.338296126E0,1.360000074E-1,-1.220000014E-1,9.899999946E-2,2.078003904E-1
1.348032970E0,1.620000005E-1,-1.190000027E-1,1.600000076E-2,2.016457310E-1
1.357769655E0,1.169999987E-1,-1.260000020E-1,-7.199999690E-2,1.864108359E-1
1.367506271E0,9.000000358E-2,-1.120000035E-1,-1.459999979E-1,2.048414040E-1
1.377243201E0,2.099999972E-2,-7.500000298E-2,-1.689999998E-1,1.860833156E-1
1.386980052E0,-2.300000004E-2,-6.100000069E-2,-1.529999971E-1,1.663099492E-1
1.396716746E0,-6.100000069E-2,-3.400000185E-2,-9.600000083E-2,1.187139435E-1
1.406453591E0,-8.100000024E-2,-1.300000027E-2,-6.300000101E-2,1.034359714E-1
1.416190285E0,-9.200000018E-2,2.099999972E-2,-1.600000076E-2,9.571311324E-2
1.425926881E0,-7.000000030E-2,3.599999845E-2,3.700000048E-2,8.697700826E-2
1.435663725E0,-2.199999988E-2,4.800000042E-2,7.500000298E-2,9.172240992E-2
1.445400410E0,1.600000076E-2,7.000000030E-2,1.010000035E-1,1.239233665E-1
1.455137254E0,3.900000080E-2,7.100000232E-2,1.089999974E-1,1.358050066E-1
1.464873948E0,3.500000015E-2,7.900000364E-2,1.340000033E-1,1.594427843E-1
1.474610792E0,5.200000107E-2,6.800000370E-2,1.539999992E-1,1.761930769E-1
1.484347425E0,7.299999893E-2,4.399999976E-2,1.580000073E-1,1.795243775E-1
1.494084115E0,9.799999744E-2,3.500000015E-2,1.749999970E-1,2.036025502E-1
1.503820946E0,8.900000155E-2,3.599999845E-2,1.850000024E-1,2.084274479E-1
1.513557641E0,7.800000161E-2,3.900000080E-2,1.360000074E-1,1.615580463E-1
1.523294466E0,5.299999937E-2,2.800000086E-2,8.100000024E-2,1.007670582E-1
1.533031160E0,3.299999982E-2,8.999999613E-3,1.999999955E-2,3.962322505E-2
1.542768004E0,3.400000185E-2,1.000000047E-3,-6.000000052E-3,3.453983391E-2
1.552504613E0,9.999999776E-3,-1.600000076E-2,1.999999955E-2,2.749545421E-2
1.562241298E0,8.000000380E-3,-3.700000048E-2,4.100000113E-2,5.580322692E-2
1.571978144E0,-8.000000380E-3,-6.800000370E-2,2.800000086E-2,7.397297180E-2
1.581715076E0,-1.400000043E-2,-9.600000083E-2,-1.200000010E-2,9.775479617E-2
1.591451694E0,0.000000000E0,-9.000000358E-2,-8.799999952E-2,1.258729540E-1
1.601188386E0,3.799999878E-2,-7.900000364E-2,-1.289999932E-1,1.559679413E-1
1.610925230E0,6.899999827E-2,-4.399999976E-2,-1.580000073E-1,1.779353873E-1
1.620661944E0,1.040000021E-1,-4.000000190E-3,-1.220000014E-1,1.603620927E-1
1.630398788E0,1.230000034E-1,1.799999923E-2,-6.300000101E-2,1.393628391E-1
1.640135459E0,1.220000014E-1,1.499999966E-2,-1.099999994E-2,1.234098875E-1
1.649872075E0,9.499999881E-2,2.899999917E-2,2.400000021E-2,1.021861034E-1
1.659608900E0,6.400000304E-2,5.700000003E-2,6.400000304E-2,1.069626139E-1
1.669345594E0,9.999999776E-3,5.000000075E-2,9.200000018E-2,1.051855508E-1
1.679082452E0,-3.400000185E-2,5.200000107E-2,1.180000007E-1,1.333566661E-1
1.688819147E0,-6.100000069E-2,1.700000092E-2,1.800000072E-1,1.908140527E-1
1.698555771E0,-7.999999821E-2,-2.199999988E-2,2.549999952E-1,2.681585301E-1
1.708292615E0,-6.700000167E-2,-2.300000004E-2,2.790000141E-1,2.878524068E-1
1.718029519E0,-9.799999744E-2,-2.999999933E-2,2.189999968E-1,2.417953640E-1
1.727766137E0,-1.260000020E-1,-4.899999872E-2,1.140000001E-1,1.768417383E-1
1.737502834E0,-1.110000014E-1,-6.100000069E-2,5.700000003E-2,1.388920459E-1
1.747239678E0,-4.699999839E-2,-5.999999866E-2,2.099999972E-2,7.905693945E-2
1.756976387E0,4.100000113E-2,-4.399999976E-2,-3.200000152E-2,6.812488656E-2
1.766713222E0,8.600000292E-2,-8.000000380E-3,-7.199999690E-2,1.124455427E-1
1.776449916E0,1.010000035E-1,0.000000000E0,-1.019999981E-1,1.435444193E-1
1.786186773E0,9.200000018E-2,9.999999776E-3,-8.699999750E-2,1.270157455E-1
1.795923468E0,7.800000161E-2,-8.000000380E-3,-9.000000358E-2,1.193649903E-1
1.805660079E0,4.899999872E-2,-4.999999888E-3,-6.400000304E-2,8.075890206E-2
1.815396923E0,3.000000026E-3,-4.000000190E-3,-2.999999933E-2,3.041381202E-2
1.825133608E0,-1.499999966E-2,-2.000000095E-3,-3.000000026E-3,1.542724831E-2
1.834870453E0,-2.700000070E-2,-1.700000092E-2,3.400000185E-2,4.662617500E-2
1.844607165E0,-3.700000048E-2,-1.899999939E-2,3.200000152E-2,5.247856810E-2
